"Population","Reference Type","Author","Publication Year","Title","From Year","To Year"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Catherine Cr.","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Catherine Cr.","2006","2011"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek Spring-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1955","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries.","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Chamberlain Creek","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1985","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Age Reference","NMFS","2011","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS","2004","2010"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1985","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1985","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Spawner Reference","NMFS","2011","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS","2004","2010"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1985","2003"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek Spring-run","Wild-Fraction Reference","NMFS","2011","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS","2004","2010"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -East Fork Salmon R.","2006","2012"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1960","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1960","2012"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -East Fork Salmon R.","2006","2012"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1960","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -East Fork Salmon R.","2006","2012"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River Spring/Summer-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1960","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -East Fork/Johnson Cr.","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Age Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Catch Reference","U.S. v Oregon Technical Advisory Committee ","2009","2009 Joint Staff Report: Stock Status and Fisheries for Spring Chinook salmon, Summer Chinook salmon, Sockeye, Steelhead, and Other Species, and Miscellaneous Regulations","1957","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -East Fork/Johnson Cr.","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Spawner Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Spawner Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -East Fork/Johnson Cr.","2006","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Wild-Fraction Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2014"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River Summer-run","Wild-Fraction Reference","Cooney, T.D., McClure, M.M., C. Baldwin, R. Carmichael, P. Hassemer, P. Howell, H. Schaller, P. Spruell, C. Petrosky and F. Utter","2009","Current Status Reviews: Interior Columbia River Basin. Volume I: Snake River Basin ESUs/DPS ","1957","2005"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Tucannon R.","2009","2013"
"Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem Spring-run","Age Reference","Compiled by T. Cooney NWFSC from reports and data provided by ODFW, YIN Fisheries Division, WDFW, and NPT Fisheries","2011","Annual Estimates of Population Abundance: Snake River Spring/Summer Chinook ESU -Upper Grand Ronde","2006","2011"
